ID;Name;Description;Position;Displayed;
95;Namkeen;;0;1;फरसाण
96;Chikki;;1;1;चिक्की
97;"Daily Food Products";;2;1;घरातीलदैनंदिन वापरतील वस्तू
98;"Dry Fruits";;3;1;ड्रायफृट
99;Papad;;4;1;पापड
100;"Daily Products";;5;1;वैयक्तिक वापरतील दैनंदिनगरजेच्या वस्तू
101;"Plastic Products";;6;1;प्लॅस्टिक प्रोडक्ट
102;"Instant Mix";;7;1;इन्स्टंट मिक्स
103;"Material Of Worship";;8;1;पूजेचे समान
104;Pulses;;9;1;कडधान्य
105;Grain;;10;1;धान्य
106;Chutney;;11;1;चटण्या
107;Supari;;12;1;सुपारी
108;Biscuits;;13;1;बिस्कीट
109;Pickle;;14;1;लोणचे
110;"Bakery Products";;15;1;बेकरी प्रॉडक्ट्स
111;Oil;;16;1;तेल
112;Spices;;17;1;मसाले
113;"Milk and Milk Products";;18;1;दुधाचे पदार्थ
114;Dal;;19;1;डाळी
115;Flour;;20;1;पिठे
116;Fruits;;21;1;फळे
117;"Leafy Vegetables";;22;1;पालेभाज्या
118;Vegetables;;23;1;फळभाज्या

