"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Fresh Amla";"";"Grape Fruit";"";"Mango Pairi";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Apple Fuji";"";"Green Grapes";"";"Mango Rajapuri";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Apple Green";"";"Guava";"";"Mango Totapuri";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Apple Indian";"";"Imported Oranges";"";"Muskmelon";"";"";"Potato";"";"Arbi";"";"Coconut";"";"Pointed Gourd";"";"Amaranthus Green";"";"Alfalfa Sprouts";"";"Mix Capsicum";""
"Apple Queen";"";"Imported Pear";"";"Papaya";"";"";"Onion";"";"Ash Gourd";"";"Cucumber Green";"";"Pumpkin Yellow";"";"Amaranthus Red";"";"Asparagus";"";"Mushroom (Button)";""
"Apple Royal Gala";"";"Indian Oranges";"";"Peach";"";"";"Tomato";"";"Baby Potato";"";"Cucumber White";"";"Raw Mango";"";"Bathua";"";"Avocado";"";"Mushroom Oyester";""
"Apple Washington";"";"Indian Pear";"";"Pineapple";"";"";"";"";"Beans Cluster";"";"Double Beans";"";"Red Pumpkin";"";"Chuka";"";"Baby Corn";"";"Oregano";""
"Banana Elaichi";"";"Jamun";"";"Plum Imported";"";"";"";"";"Beans Cowpea";"";"Drumsticks";"";"Ridge Gourd";"";"Coriander Leaves";"";"Basil";"";"Pak choi";""
"Banana Robusta";"";"Kiwi";"";"Plum Indian";"";"";"";"";"Beetroot";"";"Flat Beans (Val Papdi)";"";"Salgam";"";"Curry Leaves";"";"Broccoli";"";"Parsley";""
"Ber Apple";"";"Litchi";"";"Pomegranate";"";"";"";"";"Bitter Gourd/Karela";"";"French beans";"";"Sambhar Onion";"";"Dill Leaves";"";"Brussels Sprouts";"";"Red Cabbage";""
"Black Grapes";"";"Mango Alphonso";"";"Sapota";"";"";"";"";"Black Rajma";"";"Garlic Peeled";"";"Snake Gourd";"";"Kardai";"";"Capsicum Red";"";"Red Radish";""
"Cherry fruit";"";"Mango Badam";"";"Strawberry";"";"";"";"";"Bottle Gourd";"";"Garlic UnPeeled";"";"Sponge Gourd";"";"Lemongrass";"";"Capsicum Yellow";"";"Rosemary";""
"Custard Apple";"";"Mango Dasheri";"";"Sweet Lime";"";"";"";"";"Brinjal Bharta";"";"Ginger";"";"Suran";"";"Methi";"";"Celery";"";"Thyme";""
"Dates";"";"Mango Kesar";"";"Sweet Tamarind";"";"";"";"";"Brinjal Kateri Purple";"";"Green Peas";"";"Sweet Corn Cobs";"";"Mint Leaves";"";"Cherry Tomato Red";"";"Zucchini Green";""
"Dragon Fruit";"";"Mango Lalbag";"";"Watermelon";"";"";"";"";"Brinjal Green Round";"";"Green Tomato";"";"Sweet Corn shelled";"";"Palak/Spinach";"";"Cherry Tomato Yellow";"";"Zucchini Yellow";""
"Figs";"";"Mango Langra";"";"";"";"";"";"";"Cabbage";"";"Ivy Gourd/Tendli";"";"Sweet Potatoes";"";"Sarson";"";"Iceberg Lettuce";"";"";""
"";"";"";"";"";"";"";"";"";"Capsicum Green";"";"Kand";"";"Tender Coconut";"";"Spring Onion";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"Carrot Red";"";"Knol khol";"";"Tinda";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"Carrot Local";"";"Lady Finger";"";"Turmeric";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"Cauliflower";"";"Lemon";"";"Val Ghevda";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"Chilli Dark";"";"Long Capsicum";"";"White Radish";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"Chilli Long";"";"Pavta";"";"";"";"";"";"";"";"";""
